,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameDuration,gameCreation,championId,gameId,teamId,team1dmg,team2dmg,dmgShare,duo
0,5,False,3031,3006,3087,3153,1042,0,2052,9,13,13,3,2,2,137,1,0,0,0,0,46531,7244,39287,0,589,19832,3792,16040,0,9035,18,9070,588,588,0,3,26068,18082,7446,540,11638,10800,0,0,38,0,18,15,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,1595,0,0,9111,462,220,0,9103,14,10,0,8014,570,0,0,8139,1100,0,0,8138,18,0,0,8000,8100,5005.0,5008.0,5002.0,1072,1582583850509,203,4426970213,100,87868,105041,0.22570218964810854,1
1,10,False,3048,3020,3102,3285,1052,1026,2052,4,15,17,2,2,2,139,2,0,0,0,0,49649,47384,2264,0,0,21053,20360,693,0,3481,4,21210,69,69,0,62,31458,15981,15207,269,12214,11735,0,0,36,0,471,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8229,2673,0,0,8226,250,985,0,8210,20,0,0,8236,48,0,0,8304,5,0,0,8347,0,0,0,8200,8300,5008.0,5008.0,5003.0,1358,1582582191298,34,4426907180,200,123826,158082,0.13317771789324528,1
2,2,True,3029,3158,2065,3025,3100,0,0,11,9,16,4,2,3,207,1,0,0,0,0,37075,23204,11149,2721,0,21994,13996,5288,2709,3561,1,25178,2740,2740,0,56,28865,12996,13722,2147,12096,11750,1,0,19,0,203,17,0,0,False,False,True,False,False,True,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8437,973,856,0,8446,1745,0,0,8444,2062,0,0,8451,163,0,0,8224,833,0,0,8237,261,0,0,8400,8200,5008.0,5002.0,5001.0,1178,1544648793037,53,3862535483,100,127139,101495,0.17299176491871102,0
3,1,True,3285,3020,3136,1026,0,0,2052,3,3,11,2,1,1,256,0,0,0,0,0,38645,32492,2882,3270,0,8560,8231,329,0,376,1,3789,1640,1640,0,27,5556,1044,4486,25,8054,6850,0,0,61,0,62,12,0,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,865,0,0,8226,250,157,0,8234,680,0,0,8236,8,0,0,8009,2687,71,0,8014,254,0,0,8200,8000,5008.0,5008.0,5001.0,665,1544647930769,90,3862506716,100,54491,28177,0.15709016167807527,0
4,6,False,3146,3020,3151,1026,0,0,0,6,13,10,0,2,0,151,1,0,0,0,0,38415,35129,3285,0,0,14484,13382,1102,0,1940,1,13590,0,0,0,1,25585,16326,8156,1102,9809,8550,0,0,30,0,144,14,0,0,True,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8229,1126,0,0,8224,979,0,0,8234,2442,0,0,8236,8,0,0,8009,0,83,0,8014,370,0,0,8200,8000,5008.0,5008.0,5001.0,1032,1544646678328,55,3862487142,200,115082,84189,0.17204147810284004,0
5,10,True,3109,3111,3029,3024,3801,1031,2052,6,6,10,2,2,1,179,1,0,0,0,0,27432,20433,6998,0,0,10458,8003,2454,0,3611,1,26732,1354,1354,0,48,15782,832,14435,514,9035,8350,1,0,33,0,303,13,0,0,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,751,617,0,8473,406,0,0,8444,1264,0,0,8451,93,0,0,9111,1219,0,0,9105,10,20,0,8400,8000,,,,824,1531396708822,111,3700339091,200,38533,53225,0.19648661343353688,0
6,7,False,1026,3010,1001,0,0,0,2052,1,2,1,0,1,0,162,0,0,0,0,0,5228,4196,1031,0,0,1655,1361,294,0,161,1,1782,0,0,0,2,3147,2471,588,87,5436,2250,0,0,6,0,27,9,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,70,0,0,8226,125,0,0,8234,20,0,0,8236,8,0,0,8009,183,0,0,8014,33,0,0,8200,8000,,,,696,1531390029276,131,3700300299,200,58416,41039,0.04032749335997466,0
7,6,False,3007,3108,3020,3191,2420,0,2052,3,12,11,2,1,1,92,0,0,0,0,0,26989,25926,1062,0,0,9442,9163,279,0,2136,4,6151,0,0,0,91,16271,9478,6739,53,7171,7050,0,0,24,0,195,12,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1082,0,0,8226,250,36,0,8234,35,0,0,8236,8,0,0,8009,1516,111,0,8014,144,0,0,8200,8000,,,,751,1531389070036,9,3700298030,200,65634,50208,0.18805768005098789,0
8,10,True,3095,3006,3087,0,1038,1038,2052,22,7,17,7,3,5,134,4,2,0,0,0,67239,4730,62509,0,833,38453,1438,37015,0,3940,3,5626,3751,3751,0,15,13823,5151,7705,966,13105,10000,1,0,37,0,120,14,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1926,1468,458,9111,2345,0,0,9104,4,0,0,8014,1061,0,0,8234,36,0,0,8236,4,0,0,8000,8200,,,,804,1531387818989,119,3700285173,200,58222,103094,0.3729896987215551,0
9,1,False,3285,3158,3113,3102,2031,1026,2052,5,11,21,0,1,0,137,0,0,0,0,0,68369,64787,3582,0,0,22510,21533,976,0,2021,3,8354,0,0,0,20,18623,12346,6195,82,10113,9100,0,0,53,0,86,15,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1923,0,0,8226,250,285,0,8234,12,0,0,8236,8,0,0,8009,3366,79,0,8014,321,0,0,8200,8000,,,,983,1527018549814,4,3640491315,100,65043,78978,0.3460787479052319,0
