,win,championId,champion,kills,deaths,assists,item0,item1,item2,item3,item4,item5,KDA,largestMultiKill,totalDamageDealtToChampions,totalHeal,damageDealtToTurrets,totalDamageTaken,goldEarned,totalMinionsKilled,gameDuration,dmgShare,numberOfGames
0,49.6,1,Annie,8.2,8.9,18.2,3033.1,2875.2,2769.9,2425.3,1661.0,893.4,3.4,1.8,21750.2,2614.0,1092.6,20090.0,11921.2,36.1,19.6,19.6,847
1,44.9,2,Olaf,9.4,9.6,15.7,2903.2,3006.5,2844.8,2819.2,1951.9,1263.7,3.1,2.0,22563.0,6433.0,1194.8,34595.1,12250.9,42.7,19.5,20.3,256
2,59.4,3,Galio,7.3,9.3,23.7,2977.8,2951.7,2981.2,2744.9,1915.5,1212.2,3.7,1.5,24233.3,3788.8,1046.4,29366.5,12260.7,45.9,20.1,20.2,461
3,54.2,4,TwistedFate,7.2,9.1,21.1,3053.9,2921.0,2854.3,2612.3,1858.9,1029.7,3.6,1.6,25698.4,3430.2,1750.2,21601.3,12573.6,54.2,20.1,22.2,920
4,51.8,5,XinZhao,9.7,10.6,17.0,3072.0,2911.9,2772.3,2490.5,1837.4,1046.8,2.9,1.9,22943.4,9570.2,1252.5,34008.7,12178.3,32.6,19.5,20.2,280
5,56.1,6,Urgot,9.7,9.3,16.9,2980.0,2821.9,2986.1,3113.1,2482.4,1410.4,3.2,1.9,21931.9,5685.4,1481.1,29749.1,12695.3,63.2,19.3,19.9,392
6,45.5,7,Leblanc,13.2,9.0,16.5,3138.2,2923.7,2891.7,2606.0,1893.0,1211.2,3.7,1.9,27646.3,4421.8,1154.8,22101.2,13110.8,34.9,20.3,23.2,943
7,50.3,8,Vladimir,8.3,8.6,19.0,3016.1,2931.7,2901.9,2607.1,2008.5,1279.4,3.6,1.8,24016.7,19171.9,934.7,32707.1,12251.3,49.4,19.6,21.3,784
8,49.3,9,Fiddlesticks,7.2,10.0,19.7,3094.1,2961.6,2811.3,2488.9,1621.8,911.3,3.1,1.9,22413.7,4655.3,705.5,24537.6,11927.0,40.3,20.0,19.3,787
9,55.6,10,Kayle,8.7,8.2,21.8,3006.2,2925.6,2830.4,2675.0,1992.4,1146.5,4.4,1.9,21315.7,11408.3,1911.3,25118.5,12769.4,60.6,19.6,19.1,907
10,48.1,11,MasterYi,11.1,10.8,13.1,2998.8,2972.0,2787.8,2441.9,1756.8,897.5,2.4,2.5,21927.6,5618.9,1052.0,26047.5,12166.9,38.0,18.9,20.8,815
11,51.7,12,Alistar,4.6,9.2,28.1,2767.2,2842.4,2828.4,2796.1,2365.8,1546.0,4.1,1.2,13804.4,14406.1,567.6,36766.3,11315.1,17.8,20.0,12.2,424
12,45.0,13,Ryze,8.8,8.2,17.5,2987.0,2932.7,2872.7,2594.5,1930.2,1183.6,3.8,1.8,25217.8,6470.7,1243.7,26073.5,12536.7,67.1,19.5,22.7,834
13,52.3,14,Sion,7.8,10.7,22.5,2861.1,2959.4,2899.5,2928.4,2555.7,1783.8,3.3,1.6,23312.1,3720.0,1273.3,48098.5,12946.9,53.7,21.1,17.9,461
14,54.1,15,Sivir,9.0,8.8,23.2,3182.3,2913.9,2882.8,2626.7,1944.1,1169.5,4.4,1.9,26661.5,3721.7,1826.6,21081.7,13332.2,84.4,19.9,22.9,993
15,49.6,16,Soraka,3.0,7.0,29.1,3108.6,2964.0,2857.7,2705.7,1939.6,1190.6,5.6,1.0,11293.5,22885.6,627.2,16915.0,10919.6,20.0,19.8,10.7,817
16,56.3,17,Teemo,8.8,9.0,19.6,3149.4,2922.9,2887.6,2587.0,1757.0,989.9,3.6,1.7,27970.9,3058.6,1100.1,21371.9,12968.0,44.8,21.1,22.4,1278
17,49.9,18,Tristana,10.1,9.3,15.2,2958.7,2895.9,2856.8,2549.9,1971.6,1155.9,3.2,2.0,22762.3,3147.2,2737.2,21307.1,12784.4,63.6,19.5,20.5,1009
18,47.3,19,Warwick,8.9,9.5,16.7,2924.1,3020.8,2953.0,2771.5,2182.8,1333.4,3.1,1.8,17933.7,13622.9,683.4,39510.0,12260.2,31.4,20.1,15.2,385
19,50.1,20,Nunu,6.3,9.8,25.4,3030.0,2980.5,2980.1,2766.0,2058.1,1215.1,3.6,1.5,17393.8,13356.0,579.1,37598.6,11967.2,38.1,20.0,15.2,425
20,52.4,21,MissFortune,10.1,8.4,20.2,3048.9,2885.8,2888.9,2653.0,1958.7,1196.9,4.3,2.0,26798.6,3179.8,2131.5,20836.8,13139.0,66.2,19.8,23.6,1322
21,52.6,22,Ashe,8.0,8.3,21.7,2977.5,2943.1,2844.7,2541.4,1716.0,1010.0,4.4,1.8,23083.1,2850.6,2001.3,19315.9,12331.5,55.9,19.2,21.4,1266
22,51.9,23,Tryndamere,9.7,10.1,16.2,2896.8,2911.5,2837.0,2673.7,1801.4,1076.0,2.9,1.9,20784.0,6991.7,1325.7,30025.9,12571.0,54.2,19.5,18.1,516
23,47.2,24,Jax,9.4,11.0,14.1,3068.3,2962.9,2775.1,2394.7,1637.3,965.2,2.3,1.9,19103.1,4327.1,940.8,28147.7,11988.3,30.2,19.5,17.5,608
24,50.8,25,Morgana,7.0,7.5,27.0,3054.5,2929.4,2850.4,2639.1,1741.9,1009.5,5.6,1.5,23277.0,6026.4,871.6,22322.1,12453.2,43.2,20.6,19.1,1310
25,46.9,26,Zilean,5.7,7.3,24.7,3052.4,2886.2,2828.1,2591.8,1786.7,926.1,5.1,1.3,19654.9,7676.7,839.4,19645.2,12323.3,56.4,20.6,17.1,688
26,53.1,27,Singed,6.4,11.2,23.6,2970.7,2969.7,2986.9,2788.7,2112.0,1435.3,3.0,1.5,21667.1,5714.0,452.9,35988.3,12263.6,46.9,20.5,17.5,665
27,50.6,28,Evelynn,12.4,8.9,16.6,3165.4,2995.8,2931.6,2702.0,1802.9,1099.0,3.9,2.1,28057.1,5662.5,641.5,23215.3,12848.3,30.7,20.2,22.7,269
28,49.9,29,Twitch,11.2,10.0,19.0,2941.4,2909.7,2899.8,2685.7,2023.6,1258.9,3.5,2.1,25993.5,3225.6,1713.1,22729.5,13213.4,54.3,20.1,22.3,1113
29,52.3,30,Karthus,10.5,10.9,23.5,3032.2,2955.0,2951.6,2717.9,2064.9,1284.7,3.7,2.0,34744.4,4430.5,755.1,25618.4,13818.5,66.1,21.3,26.2,1045
30,51.9,31,Chogath,9.6,8.6,17.9,3006.9,2963.2,2945.2,2762.1,2165.2,1460.4,3.7,1.7,22935.5,7176.2,756.4,37675.6,12720.7,47.6,20.5,19.5,1062
31,54.9,32,Amumu,6.5,9.5,21.8,2818.5,2914.1,2878.2,2732.8,2054.0,1221.3,3.3,1.6,19136.8,2844.8,566.2,29459.5,11515.9,30.0,19.5,16.9,824
32,44.7,33,Rammus,4.6,9.9,21.6,2795.0,2943.5,2918.9,2664.8,2097.5,1242.3,2.9,1.3,15000.1,2924.5,629.3,30682.6,10886.1,24.1,19.3,13.8,215
33,42.9,34,Anivia,7.3,7.5,19.9,2976.8,2881.9,2767.9,2661.8,1780.9,1107.9,4.6,1.6,21199.4,4063.7,978.4,26385.2,12560.4,62.1,20.4,18.0,534
34,52.5,35,Shaco,10.3,8.2,20.2,3133.4,2910.0,2885.1,2581.3,2023.1,1181.5,4.5,1.8,26728.4,2805.3,748.9,20498.2,13071.0,33.3,21.1,21.2,712
35,51.6,36,DrMundo,7.2,8.5,19.1,2785.9,2927.9,2915.2,2820.5,2265.0,1316.9,3.5,1.7,23102.9,7757.9,1134.3,42778.8,11894.5,33.2,19.8,20.5,643
36,56.7,37,Sona,4.7,7.8,30.5,3002.9,2862.6,2815.8,2579.1,1766.3,954.7,5.6,1.3,14479.1,13625.3,1184.4,21735.2,11229.1,18.3,19.3,13.3,830
37,48.9,38,Kassadin,11.3,10.1,15.4,2947.0,2915.7,2817.5,2696.2,1993.8,1270.8,3.0,2.2,23819.1,4967.2,884.6,26147.8,12318.0,38.7,19.3,21.4,509
38,49.1,39,Irelia,10.3,10.2,15.1,2926.1,2995.2,2893.6,2661.0,2072.4,1312.1,2.9,2.2,19880.6,6740.5,899.3,31927.6,12705.0,61.9,19.4,18.3,711
39,49.6,40,Janna,3.7,6.7,29.2,3060.1,2948.1,2955.6,2680.8,1929.5,1030.7,6.2,1.1,13816.0,10871.6,1098.2,16537.8,11371.4,32.9,19.9,12.6,891
40,49.9,41,Gangplank,10.5,8.2,18.7,3053.8,2913.5,2921.9,2681.4,1970.1,1123.7,4.1,1.9,26802.5,9023.6,1116.0,26650.9,13749.9,64.1,20.8,21.7,565
41,46.8,42,Corki,9.4,9.4,20.4,2978.0,2877.4,2858.8,2609.8,1820.9,1148.5,3.6,1.9,27620.0,4195.5,1391.2,23987.7,13025.2,57.8,20.4,22.8,466
42,50.4,43,Karma,6.2,7.3,23.5,3052.6,2897.1,2801.8,2511.4,1618.4,821.3,5.0,1.4,19701.8,3549.6,1019.2,18889.1,11662.5,34.4,19.7,17.8,1000
43,55.9,44,Taric,3.6,8.1,29.6,2784.8,2949.3,2896.9,2759.4,2456.9,1232.0,4.7,1.1,9470.6,12998.1,833.4,28463.7,10938.5,19.1,19.4,8.5,227
44,48.9,45,Veigar,9.4,8.7,19.5,3047.5,2936.0,2861.4,2617.1,1828.2,1117.3,4.0,1.7,23646.7,2582.2,1379.1,20140.5,12876.1,63.0,20.3,19.7,1314
45,54.8,48,Trundle,8.3,9.4,21.3,2941.0,2972.6,2843.3,2770.7,2028.8,1257.1,3.5,1.8,20076.4,15515.7,2229.3,43209.9,12516.0,35.1,20.3,16.3,239
46,52.8,50,Swain,8.5,8.4,23.8,2966.5,2908.1,2880.2,2748.2,2103.1,1238.9,4.6,1.8,26634.4,16091.7,1147.2,40999.5,12539.6,44.8,20.1,22.6,532
47,52.8,51,Caitlyn,10.5,7.8,17.9,2980.0,2897.9,2846.2,2574.2,1957.6,1171.0,4.4,2.0,26975.9,3352.7,2542.2,19455.2,13203.8,66.9,19.8,23.7,1294
48,50.3,53,Blitzcrank,5.6,8.8,21.1,3004.9,2900.6,2894.9,2624.4,1895.4,1083.3,3.5,1.2,16808.1,3551.4,665.3,26875.4,11343.1,19.4,20.2,14.7,941
49,49.9,54,Malphite,9.3,9.9,18.7,3004.4,2900.0,2896.5,2636.9,1980.2,1192.5,3.1,1.9,23614.1,2424.7,850.1,24812.8,12395.7,35.1,20.3,20.1,1222
