,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameDuration,gameCreation,championId,gameId,teamId,team1dmg,team2dmg,dmgShare,duo
0,6,True,3048,3157,1058,3100,3116,3158,2052,19,11,16,5,5,4,336,3,2,1,1,0,103252,93044,9081,1126,0,38927,35716,2219,991,3049,1,30124,712,712,0,25,30319,8616,21579,123,18818,15900,1,0,91,0,145,18,0,0,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,3466,0,0,8226,250,1744,0,8210,60,0,0,8236,80,0,0,9111,1896,350,0,8014,1491,0,0,8200,8000,5007.0,5008.0,5001.0,1668,1586300177005,38,4514495285,200,179343,160197,0.24299456294437474,1
1,8,False,3285,3089,3020,3135,0,0,2052,8,8,15,2,1,2,237,0,0,0,0,0,94356,92696,1660,0,0,17991,17516,474,0,2093,1,5341,452,452,0,36,18515,13509,4451,554,11953,10750,0,0,93,0,95,16,0,0,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1296,0,0,8226,250,652,0,8210,0,0,0,8236,48,0,0,9111,720,230,0,8014,584,0,0,8200,8000,5007.0,5008.0,5001.0,1124,1586298709111,45,4514423221,200,79762,91608,0.19639114487817658,1
2,3,True,3158,3048,3057,3113,0,0,2052,1,3,31,0,1,0,451,0,0,0,0,0,31864,25089,6774,0,0,11972,9746,2225,0,9200,5,7570,2696,2696,0,12,13192,2820,8956,1416,9672,6250,1,0,28,0,19,16,0,0,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,527,3195,0,8226,250,1183,0,8210,20,0,0,8236,24,0,0,8444,709,0,0,8453,1031,2441,0,8200,8400,5008.0,5008.0,5001.0,967,1586297520920,37,4514387327,100,76191,60231,0.15713141972148942,1
3,9,False,3285,3136,3020,1026,0,0,2052,1,10,13,0,1,0,155,0,0,0,0,0,33080,31740,1339,0,0,7284,7012,271,0,378,1,6613,0,0,0,28,14210,3232,10603,374,7667,6750,0,0,40,0,57,13,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1285,0,0,8226,250,169,0,8210,0,0,0,8236,24,0,0,9111,173,140,0,8014,214,0,0,8200,8000,5007.0,5008.0,5001.0,835,1586296488973,90,4514373874,200,79371,52099,0.13981074492792567,1
4,4,False,3285,3020,3100,1058,0,0,2052,5,5,6,2,1,2,271,0,0,0,0,0,48119,44453,3666,0,0,16991,16259,731,0,5789,5,6166,1477,1477,0,0,12961,5576,6839,545,9232,8850,1,0,39,0,0,14,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1303,0,0,8226,250,663,0,8210,16,0,0,8236,24,0,0,9111,279,110,0,8014,347,0,0,8200,8000,5007.0,5008.0,5001.0,951,1586295345966,76,4514288932,100,67359,82718,0.252245431197019,1
5,4,False,2051,3111,3742,0,3065,0,2052,7,13,10,2,2,2,95,1,0,0,0,0,21884,14220,6708,955,0,10762,6075,3731,955,1199,1,29747,88,88,0,28,29134,11369,17555,209,8611,7900,0,0,17,0,177,14,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,622,0,0,8446,0,0,0,8429,43,17,16,8451,183,0,0,8014,304,0,0,9111,915,170,0,8400,8000,5008.0,5008.0,5001.0,854,1586293579351,106,4514223024,100,46386,79166,0.23200965808649163,1
6,2,True,3029,3111,3001,3211,3067,0,2052,6,4,21,3,2,1,369,1,0,0,0,0,38710,26587,7621,4500,0,11237,8455,2256,525,4625,1,28004,2256,2256,0,54,17461,11088,4138,2234,10135,9600,1,0,37,0,383,15,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,787,0,0,8446,896,0,0,8429,48,14,17,8451,242,0,0,8014,224,0,0,9111,1353,270,0,8400,8000,5008.0,5008.0,5001.0,933,1586289436300,111,4514043762,100,81873,72821,0.13724915417781197,1
7,9,True,3124,3153,3006,3085,0,0,2052,4,5,22,4,3,1,357,1,1,0,0,0,44828,21531,20741,2555,0,14528,9091,2881,2555,1406,1,4623,2011,2011,0,6,12051,5713,5796,541,11324,10350,2,1,53,0,155,16,0,0,False,False,True,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,0,0,9111,908,260,0,9103,13,10,0,8014,376,0,0,8236,14,0,0,8275,9,0,0,8000,8200,5005.0,5008.0,5002.0,1041,1586287394091,96,4513992419,200,59456,74435,0.1951770000671727,1
8,1,False,3031,1053,3006,3085,1038,1036,2052,6,7,15,2,1,1,233,0,0,0,0,0,70746,1583,62448,6715,618,16463,474,15988,0,772,1,4106,2049,2049,0,26,13482,10202,2886,394,10678,9750,2,0,66,0,64,14,0,0,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,50,0,9111,523,210,0,9103,12,10,0,8014,310,0,0,8236,14,0,0,8275,8,0,0,8000,8200,5005.0,5008.0,5002.0,909,1586286259245,222,4513829925,100,69563,74107,0.23666316863850034,1
9,7,True,3147,3142,3156,3158,3044,3067,2052,23,2,18,9,2,3,506,4,0,0,0,0,78515,8067,70447,0,0,36380,4497,31882,0,6439,1,14980,3274,3274,0,7,17250,11145,5337,768,15748,12000,1,1,60,0,46,18,0,0,True,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,2402,33,678,8139,1850,0,0,8138,18,0,0,8135,2768,5,0,9111,1102,410,0,8014,1331,0,0,8100,8000,5005.0,5008.0,5001.0,1175,1586281439417,126,4513707192,200,104974,94168,0.38633081301503697,1
