,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameDuration,gameCreation,championId,gameId,teamId,team1dmg,team2dmg,dmgShare,duo
0,7,True,3065,3077,3143,3009,3075,3083,2052,8,11,24,3,1,2,337,0,0,0,0,0,36296,17326,17459,1510,28,20885,11934,7782,1167,7093,4,88564,1402,1402,0,16,79617,18940,60440,236,14975,13825,1,2,14,0,397,18,0,0,True,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1690,1359,0,8463,564,0,0,8473,948,0,0,8453,945,374,0,9105,9,10,0,9111,2648,320,0,8400,8000,5005.0,5003.0,5001.0,1668,1586300177005,36,4514495285,200,179343,160197,0.13037073103741018,1
1,9,False,3285,3157,2031,0,3089,3020,2052,14,5,14,11,2,1,403,1,0,0,0,0,46806,31436,15008,361,0,28706,22394,5949,361,1320,1,7029,107,107,0,0,12717,8695,3635,385,12058,11550,0,0,21,0,0,16,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2091,0,0,8226,250,637,0,8233,9,40,0,8237,616,0,0,8014,876,0,0,9111,633,280,0,8200,8000,5008.0,5008.0,5001.0,1124,1586298709111,145,4514423221,200,79762,91608,0.3133569120600821,1
2,4,True,3285,3157,2031,3020,1058,1058,2052,7,3,19,3,2,3,452,1,0,0,0,0,49131,41383,3852,3895,0,21790,17634,598,3557,1171,1,7179,1222,1222,0,27,9212,1641,6621,948,10675,9950,1,0,39,0,170,16,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2024,0,0,8226,250,532,0,8233,6,40,0,8237,592,0,0,8014,408,0,0,9111,605,260,0,8200,8000,5008.0,5008.0,5001.0,967,1586297520920,161,4514387327,100,76191,60231,0.2859917838064863,1
3,10,False,3029,2033,3047,3075,1033,0,2052,5,9,9,2,1,1,133,0,0,0,0,0,18849,14885,3652,311,29,9261,7306,1643,311,1080,1,21115,0,0,0,13,16818,6254,10319,244,8459,7850,0,0,15,0,215,13,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1035,0,0,8226,250,38,0,8233,7,40,0,8237,297,0,0,8014,342,0,0,9111,384,140,0,8200,8000,5008.0,5008.0,5001.0,835,1586296488973,54,4514373874,200,79371,52099,0.17775773047467322,1
4,5,False,3111,2031,3075,3078,0,0,2052,2,8,9,0,1,0,240,0,0,0,0,0,22358,8674,13285,399,25,8936,2606,6078,252,795,4,19817,0,0,0,17,17319,6266,10392,660,8442,7883,0,0,13,0,178,13,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,595,0,0,8463,92,0,0,8473,251,0,0,8453,114,0,0,9105,13,40,0,9111,331,110,0,8400,8000,5005.0,5003.0,5001.0,951,1586295345966,80,4514288932,100,67359,82718,0.13266230199379445,1
5,5,False,1053,2033,3006,3031,3046,1036,2052,7,4,3,4,1,2,351,0,0,0,0,0,29534,3581,25953,0,466,7866,515,7350,0,1185,1,4471,511,511,0,1,11122,8500,2578,43,9254,8850,0,0,39,0,5,13,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,249,218,31,9111,147,100,0,9103,0,0,0,8017,87,0,0,8135,287,4,0,8139,436,0,0,8000,8100,5005.0,5008.0,5001.0,854,1586293579351,18,4514223024,100,46386,79166,0.16957702755141638,1
6,3,True,2051,2033,3111,3065,3100,1033,2052,8,4,30,4,2,1,221,1,0,0,0,0,20301,15621,4092,587,0,12244,10159,1498,587,17724,5,30294,1284,1284,0,53,22794,13597,6647,2549,10416,9000,0,0,7,0,85,16,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,912,0,0,8463,705,0,0,8473,386,0,0,8453,1954,172,0,9105,5,10,0,9111,1858,380,0,8400,8000,5005.0,5003.0,5001.0,933,1586289436300,12,4514043762,100,81873,72821,0.14954869126574083,1
7,10,True,3147,3142,2033,3158,3044,3067,2052,8,5,11,3,3,2,359,1,1,0,0,0,28191,444,27505,241,0,13859,444,13172,241,2476,1,6887,732,732,0,10,12280,6146,5672,461,10527,9250,0,0,19,0,119,15,0,0,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,426,0,0,8143,343,0,0,8138,18,0,0,8106,5,0,0,8014,315,0,0,9111,504,190,0,8100,8000,5008.0,5008.0,5001.0,1041,1586287394091,121,4513992419,200,59456,74435,0.1861892926714583,1
8,2,False,3029,2031,3020,3068,3194,0,2052,4,6,19,2,2,2,253,1,0,0,0,0,30561,22569,7342,649,0,13888,10107,3291,489,2408,1,18245,1114,1114,0,23,18122,13798,3194,1130,9684,9400,0,0,14,0,199,15,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1034,0,0,8226,250,88,0,8233,5,10,0,8237,346,0,0,8014,233,0,0,9111,1003,230,0,8200,8000,5008.0,5008.0,5001.0,909,1586286259245,54,4513829925,100,69563,74107,0.19964636372784383,1
9,8,True,3109,2031,3190,3065,3047,0,2052,4,6,37,0,1,0,215,0,0,0,0,0,17795,11634,5167,992,0,11845,8239,2612,992,21024,5,37922,675,675,0,56,30581,17634,11275,1671,11564,9400,0,0,6,0,91,18,0,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1140,0,0,8463,1015,0,0,8473,414,0,0,8453,2179,227,0,9105,6,20,0,9111,1325,410,0,8400,8000,5005.0,5003.0,5001.0,1175,1586281439417,12,4513707192,200,104974,94168,0.12578582958117407,1
10,7,True,3029,2033,3048,3158,1058,0,2052,9,4,36,3,2,4,431,2,0,0,0,0,21887,18996,2890,0,0,13450,12070,1379,0,10888,5,7828,1053,1053,0,14,16386,9357,6491,537,11883,8450,0,1,14,0,20,17,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,431,5179,0,8226,250,870,0,8233,8,0,0,8237,412,0,0,8014,548,0,0,9111,1115,450,0,8200,8000,5008.0,5008.0,5001.0,1024,1586279330635,37,4513612186,200,83379,100247,0.1341686035492334,1
11,9,False,2033,3153,3006,3008,3031,0,2052,7,9,21,2,2,1,351,1,0,0,0,0,54161,3937,50224,0,213,20735,2446,18288,0,1451,1,9063,863,863,0,40,22051,15211,5503,1336,11425,10700,0,0,31,0,404,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1713,0,0,8226,250,281,0,8233,9,30,0,8237,542,0,0,8014,472,0,0,9111,380,280,0,8200,8000,5008.0,5008.0,5001.0,1169,1585179466369,22,4481292445,200,114915,111592,0.1858108108108108,1
12,3,True,3285,2420,3158,3174,3089,2031,2052,2,6,32,0,1,0,353,0,0,0,0,0,43915,40189,3452,273,0,10586,9718,700,167,11837,13,10630,3096,3096,0,46,17847,9489,7582,775,13398,11700,2,0,25,0,105,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2248,0,0,8226,250,1310,0,8233,12,40,0,8237,542,0,0,8014,209,0,0,9111,569,340,0,8200,8000,5008.0,5008.0,5001.0,1427,1585177763464,40,4481226672,100,144381,142697,0.07331989666230321,1
