,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameDuration,gameCreation,championId,gameId,teamId,team1dmg,team2dmg,dmgShare,duo
0,1,False,3087,2421,3031,3142,3006,0,2052,9,16,9,2,2,1,83,1,0,0,0,0,73401,13706,59473,220,800,31411,4265,27009,136,902,1,10680,0,0,0,23,24050,15163,8083,802,11444,10700,0,0,41,0,68,15,0,0,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1642,857,784,9111,241,180,0,9104,9,10,0,8014,662,0,0,8233,6,10,0,8236,14,0,0,8000,8200,5005.0,5008.0,5001.0,1075,1587322792173,133,4543847911,100,112371,156964,0.27952941595251446,0
1,6,True,3048,3029,3116,0,0,0,2052,10,4,15,7,2,2,276,1,0,0,0,0,44745,42189,2555,0,0,20868,20470,397,0,3754,1,4171,1832,1832,0,37,13741,7716,5024,1000,9949,8600,1,0,38,0,386,15,0,0,True,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2002,0,0,8226,250,337,0,8210,0,0,0,8236,24,0,0,8138,30,0,0,8105,16,5,0,8200,8100,5008.0,5008.0,5001.0,792,1587321810108,69,4543882863,200,61927,57215,0.3647295289696758,0
2,4,True,3083,3065,3047,3044,0,0,2052,6,8,24,2,2,2,144,2,0,0,0,0,28923,18905,8887,1130,0,13084,7707,4386,990,3594,1,39978,1355,1355,0,54,37390,19093,17297,999,10647,8100,2,1,17,0,81,18,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1797,1447,0,8446,875,0,0,8444,2009,0,0,8451,259,0,0,8224,921,0,0,8237,335,0,0,8400,8200,5008.0,5002.0,5001.0,1027,1586616093549,89,4523356621,100,98583,97708,0.1327206516336488,0
3,7,True,3285,3020,3151,3089,3116,3100,2052,11,13,23,2,2,2,286,1,0,0,0,0,147331,133534,9458,4337,0,50772,46305,2584,1882,1422,1,37312,3202,3202,0,7,38719,14145,22590,1982,18020,17900,3,0,84,0,96,18,0,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2735,0,0,8224,1314,0,0,8210,0,0,0,8236,120,0,0,8138,30,0,0,8105,15,5,0,8200,8100,5008.0,5008.0,5001.0,1820,1586444340216,102,4518179113,200,193292,232773,0.21811808070523644,0
4,6,False,3083,3078,3047,3110,3075,3068,2052,15,11,26,4,3,5,263,5,1,0,0,0,92280,31047,61233,0,36,45172,14106,31065,0,4354,1,70886,3309,3309,0,27,63172,12775,43114,7283,16130,16033,2,1,54,0,813,18,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,3243,3052,0,8446,855,0,0,8444,3650,0,0,8451,313,0,0,8224,673,0,0,8237,753,0,0,8400,8200,5008.0,5002.0,5001.0,1300,1582381950997,75,4423343397,200,181540,169615,0.2663207853079032,0
5,1,False,3020,3048,3374,3135,1026,1033,2052,8,11,21,3,2,2,223,1,0,0,0,0,129294,80066,5775,43453,0,37141,22117,902,14121,6991,1,17058,3156,3156,0,31,28017,14022,13813,180,15176,12100,1,1,102,0,72,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2905,0,0,8226,250,939,0,8210,0,0,0,8236,80,0,0,8138,30,0,0,8105,16,5,0,8200,8100,5008.0,5008.0,5001.0,1445,1582303039460,103,4422092124,100,155266,167853,0.2392088416008656,0
6,9,True,3111,3190,3065,3083,0,0,2052,5,7,23,2,1,1,208,0,0,0,0,0,23646,6144,12991,4510,0,11512,4657,5759,1095,3137,1,53212,1411,1411,0,36,27000,18226,7947,826,10530,8950,1,0,17,0,141,17,0,0,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1193,1002,0,8446,991,0,0,8444,2289,0,0,8451,253,0,0,8224,982,0,0,8237,354,0,0,8400,8200,5008.0,5002.0,5001.0,1028,1582047111624,98,4418102160,200,109025,97368,0.11823186262427081,0
7,2,False,3029,3111,3083,3075,3082,1011,2052,10,10,19,3,2,2,168,1,0,0,0,0,73665,59200,5834,8630,26,31269,23068,1952,6248,5101,1,43204,1070,1070,0,130,46089,11336,34373,379,12530,11450,0,0,49,0,542,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2160,0,0,8226,250,326,0,8210,0,0,0,8236,48,0,0,8138,30,0,0,8105,15,5,0,8200,8100,5008.0,5008.0,5001.0,1189,1581790351267,31,4413570805,100,159606,138172,0.1959136874553588,0
8,1,True,3087,3153,3371,3006,3052,1037,2052,18,11,15,6,4,5,118,5,2,1,0,0,97972,10793,82739,4440,775,32197,2859,25800,3537,2746,1,11547,4337,4337,0,0,22062,9007,11416,1638,13885,12475,1,0,78,0,0,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1077,810,266,9111,867,330,0,9104,7,30,0,8014,1021,0,0,8233,8,50,0,8236,14,0,0,8000,8200,5005.0,5008.0,5001.0,1074,1580658095512,11,4394177523,100,128743,98238,0.2500873833917184,0
9,2,False,3029,3020,3285,3089,1052,1026,2052,10,8,14,3,2,3,404,1,0,0,0,0,60239,56275,3964,0,76,23835,22959,876,0,2679,1,11218,2187,2187,0,33,20646,10251,8852,1542,12618,11785,2,0,51,0,95,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2386,0,0,8226,250,396,0,8210,0,0,0,8236,48,0,0,8138,30,0,0,8105,16,5,0,8200,8100,5008.0,5008.0,5001.0,1140,1580651911180,1,4393936141,100,126999,93140,0.18767864313892235,0
